cluster1,cluster2,cluster3,ID,plot_order,latitude,longitude
0,0,1,MTR18550,1,-4.3074,-61.8135
0,0,1,MTR25584,2,-10.7868,-63.6281
0,0,1,MPEG21348,3,-11.6996,-64.3915
0,0,1,H1911,4,-9.4358,-64.8203
0,0,1,UNIBAN1670,5,-10.2987,-63.2375
0,0,1,H1907,6,-9.4459,-64.8247
0,0,1,H2546,7,-9.5979,-65.3576
0,0,1,LSUMZH14100,8,-8.3464,-65.7161
0,0,1,LSUMZH15476,9,-10.3167,-64.55
0.02,0.13,0.85,PJD409,10,-5.8174,-57.3956
0.02,0.18,0.8,LSUMZH12751,11,-0.2172,-75.8069
0.22,0.27,0.52,LSUMZH12577,12,-0.2172,-75.8069
0,0.76,0.24,MTR28593,13,-10.0679,-67.6063
0,0.77,0.23,LSUMZH13910,14,-8.2509,-72.7677
0,0.82,0.18,MTR28401,15,-7.5016,-73.7214
0,1,0,MPEG29314,16,-2.9096,-59.0495
0,1,0,MPEG24758,17,-1.7731,-56.3706
0,1,0,BM288,18,-3.3228,-51.8448
0,1,0,LSUMZH14336,19,-3.1354,-54.8416
0,1,0,MPEG29943,20,-4.1144,-55.6771
0,1,0,GN71,21,-9.7307,-54.6064
0,1,0,MPEG20846,22,-2.6096,-56.1842
0.01,0.99,0,MPEG28489,23,-2.5475,-56.2256
0,1,0,MTR976723,24,-13.1833,-53.2564
0.01,0.99,0,MTR20798,25,4.4621,-61.1451
0.06,0.94,0,MTR28048,26,-7.4424,-73.6575
0.15,0.78,0.06,MTR21474,27,-2.9979,-59.9494
0.18,0.81,0.01,MPEG22415,28,-1.2169,-48.2948
0.35,0.65,0,MPEG26102,29,-1.9969,-51.6418
0.36,0.64,0,MTR978312,30,-9.9,-51.2
0.84,0.16,0,ICST764,31,-9.8092,-36.2838
0.85,0.15,0,MUFAL9635,32,-9.5073,-35.7099
1,0,0,MTR05978,33,-15.1547,-39.5233
1,0,0,IBSPCRIB0361,34,-23.7564,-46.0247
1,0,0,MTR21545,35,-19.0556,-40.1473
1,0,0,MTR12338,36,-19.4483,-40.0804
1,0,0,JFT459,37,-20.2811,-40.5219
1,0,0,JFT773,38,-19.96,-40.52
1,0,0,MTR17744,39,-19.6411,-42.5333
1,0,0,MTR15267,40,-22.4354,-42.6216
1,0,0,MTRX1478,41,-22.9712,-43.2547
1,0,0,MTRX1468,42,-20.9031,-41.7192
1,0,0,MTR34227,43,-15.8958,-39.6611
1,0,0,LG1299,44,-15.2696,-39.0694
1,0,0,MTR34414,45,-16.442,-39.07
1,0,0,MTR12511,46,-19.0564,-39.8942
